iter	Passed	Remaining
0	29	29452
1	30	15441
2	32	10699
3	33	8336
4	34	6913
5	35	5941
6	36	5223
7	38	4804
8	40	4480
9	41	4101
10	42	3787
11	42	3527
12	43	3308
13	44	3117
14	44	2951
15	45	2802
16	46	2671
17	46	2555
18	47	2451
19	48	2356
20	48	2270
21	49	2194
22	50	2125
23	50	2060
24	51	2003
25	52	1953
26	53	1941
27	54	1907
28	55	1863
29	56	1820
30	56	1779
31	57	1740
32	58	1704
33	58	1673
34	59	1644
35	60	1615
36	61	1588
37	61	1562
38	62	1536
39	62	1511
40	63	1488
41	64	1466
42	64	1445
43	65	1424
44	66	1405
45	66	1388
46	69	1399
47	70	1391
48	71	1379
49	71	1365
50	72	1350
51	73	1334
52	73	1320
53	74	1305
54	75	1291
55	75	1277
56	76	1264
57	77	1251
58	77	1239
59	78	1227
60	78	1215
61	79	1204
62	80	1195
63	81	1185
64	81	1176
65	83	1178
66	84	1181
67	85	1174
68	86	1165
69	87	1156
70	87	1147
71	88	1138
72	88	1129
73	89	1121
74	90	1113
75	90	1105
76	91	1097
77	92	1089
78	92	1082
79	93	1075
80	94	1068
81	94	1061
82	95	1051
83	95	1045
84	96	1040
85	98	1043
86	99	1041
87	99	1035
88	100	1029
89	101	1022
90	101	1016
91	102	1010
92	103	1005
93	103	999
94	104	993
95	105	989
96	105	984
97	106	978
98	106	973
99	107	970
100	108	965
101	109	960
102	109	955
103	110	950
104	110	945
105	112	945
106	113	943
107	114	942
108	114	938
109	115	933
110	116	929
111	116	925
112	117	921
113	117	916
114	118	912
115	119	908
116	119	903
117	120	901
118	121	897
119	121	893
120	122	890
121	123	885
122	123	882
123	124	878
124	124	874
125	125	871
126	128	880
127	134	917
128	136	919
129	136	916
130	137	912
131	138	909
132	138	905
133	139	901
134	140	898
135	140	894
136	141	892
137	143	893
138	144	892
139	144	889
140	145	885
141	145	881
142	147	882
143	147	879
144	148	876
145	149	873
146	149	869
147	150	866
148	151	863
149	151	860
150	152	857
151	153	854
152	153	851
153	154	848
154	155	845
155	155	843
156	156	840
157	157	839
158	158	839
159	159	837
160	159	833
161	160	830
162	161	828
163	162	826
164	162	823
165	163	820
166	164	818
167	164	816
168	165	813
169	166	811
170	166	808
171	167	805
172	168	803
173	168	800
174	169	799
175	170	797
176	170	794
177	172	797
178	174	799
179	174	796
180	175	794
181	176	792
182	176	789
183	177	787
184	178	784
185	178	782
186	179	780
187	180	777
188	180	775
189	181	773
190	182	771
191	182	769
192	183	766
193	184	764
194	184	762
195	185	760
196	186	758
197	187	759
198	188	758
199	189	756
200	189	755
201	190	753
202	191	751
203	191	748
204	192	746
205	193	744
206	193	742
207	194	740
208	195	738
209	195	736
210	196	735
211	197	733
212	197	731
213	198	729
214	199	727
215	199	725
216	200	723
217	201	721
218	202	721
219	203	720
220	203	718
221	204	717
222	205	715
223	205	713
224	206	711
225	207	709
226	207	707
227	208	705
228	209	703
229	209	702
230	210	700
231	211	699
232	211	697
233	212	695
234	213	693
235	213	692
236	214	690
237	215	688
238	215	686
239	217	687
240	218	689
241	219	687
242	220	686
243	220	684
244	221	682
245	222	680
246	222	679
247	223	677
248	224	675
249	224	674
250	225	672
251	225	670
252	226	668
253	227	667
254	227	665
255	228	663
256	229	662
257	229	660
258	230	659
259	231	659
260	232	659
261	233	657
262	234	656
263	234	655
264	235	653
265	236	651
266	236	650
267	237	648
268	238	647
269	238	645
270	239	644
271	240	642
272	240	641
273	241	639
274	242	638
275	242	636
276	243	635
277	244	633
278	244	632
279	245	631
280	246	631
281	247	630
282	248	628
283	248	627
284	249	625
285	250	624
286	250	623
287	251	621
288	252	620
289	252	618
290	253	617
291	253	615
292	254	614
293	255	612
294	256	611
295	256	610
296	257	609
297	258	607
298	258	606
299	259	605
300	260	604
301	261	604
302	263	605
303	263	604
304	264	602
305	265	601
306	265	600
307	266	598
308	267	597
309	267	596
310	268	594
311	269	593
312	269	591
313	270	590
314	271	589
315	271	588
316	272	587
317	273	585
318	273	584
319	274	583
320	275	582
321	276	582
322	277	581
323	278	580
324	278	579
325	279	577
326	280	576
327	280	575
328	281	574
329	282	573
330	282	571
331	283	570
332	284	569
333	284	568
334	285	566
335	286	565
336	286	564
337	287	563
338	288	561
339	288	560
340	289	559
341	290	558
342	291	557
343	292	557
344	292	556
345	293	554
346	294	553
347	294	552
348	295	551
349	296	549
350	296	548
351	297	547
352	297	546
353	298	544
354	299	543
355	299	542
356	300	541
357	301	540
358	301	539
359	302	537
360	303	536
361	303	535
362	304	534
363	305	534
364	307	534
365	308	533
366	308	532
367	309	531
368	310	530
369	310	529
370	311	527
371	312	526
372	312	525
373	313	524
374	314	523
375	314	522
376	315	521
377	315	519
378	316	518
379	317	517
380	317	516
381	318	515
382	319	514
383	320	514
384	321	513
385	322	512
386	323	511
387	323	510
388	324	509
389	324	508
390	325	507
391	326	506
392	326	504
393	327	503
394	328	502
395	328	501
396	329	500
397	330	499
398	330	498
399	331	497
400	332	496
401	333	495
402	333	494
403	334	493
404	335	492
405	336	492
406	337	491
407	337	490
408	338	489
409	339	488
410	339	486
411	340	485
412	341	484
413	341	483
414	342	482
415	342	481
416	343	480
417	344	479
418	344	478
419	345	477
420	346	475
421	346	474
422	347	473
423	348	472
424	348	471
425	350	471
